RecordDate,Max. CovidPositives
6/14/2020,153225
6/14/2021,3867305
6/14/2022,9858704
6/15/2020,155541
6/15/2021,3868110
6/15/2022,9865293
6/16/2020,159306
6/16/2021,3868995
6/16/2022,9883825
6/17/2020,163854
6/17/2021,3870305
6/17/2022,9898140
6/18/2020,168515
6/18/2021,3871311
6/18/2022,9898667
6/19/2020,172742
6/19/2021,3872473
6/19/2022,9899173
6/2/2020,118723
6/2/2021,3854995
6/2/2022,9650588
6/20/2020,177444
6/20/2021,3873580
6/20/2022,9953617
6/21/2020,181622
6/21/2021,3874412
6/21/2022,9964334
6/22/2020,187538
6/22/2021,3875239
6/22/2022,9970834
6/23/2020,195433
6/23/2021,3876758
6/23/2022,10003932
6/24/2020,201094
6/24/2021,3878803
6/24/2022,10025042
6/25/2020,206574
6/25/2021,3880607
6/25/2022,10025689
6/26/2020,213089
6/26/2021,3882835
6/26/2022,10026283
6/27/2020,217376
6/27/2021,3884051
6/27/2022,10075562
6/28/2020,223540
6/28/2021,3885181
6/28/2022,10093369
6/29/2020,230696
6/29/2021,3881241
6/29/2022,10100905
6/3/2020,120943
6/3/2021,3856181
6/3/2022,9664687
6/30/2020,240802
6/30/2021,3882991
6/30/2022,10137736
6/4/2020,123973
6/4/2021,3857426
6/4/2022,9665298
6/5/2020,127103
6/5/2021,3858628
6/5/2022,9665915
6/6/2020,129910
6/6/2021,3859569
6/6/2022,9720454
6/7/2020,132445
6/7/2021,3860426
6/7/2022,9737519
6/8/2020,134701
6/8/2021,3861457
6/8/2022,9744774
6/9/2020,137513
6/9/2021,3862414
6/9/2022,9776859
7/1/2020,248148
7/1/2021,3884787
7/1/2022,10156519
7/10/2020,319862
7/10/2021,3899585
7/10/2022,10275460
7/11/2020,328120
7/11/2021,3905912
7/11/2022,10343254
7/12/2020,335708
7/12/2021,3909426
7/12/2022,10364936
7/13/2020,343569
7/13/2021,3914217
7/13/2022,10372854
7/14/2020,354668
7/14/2021,3917994
7/14/2022,10412980
7/15/2020,363222
7/15/2021,3921216
7/15/2022,10427630
7/16/2020,373194
7/16/2021,3924909
7/16/2022,10437751
7/17/2020,382114
7/17/2021,3926907
7/17/2022,10438498
7/18/2020,390677
7/18/2021,3936858
7/18/2022,10494170
7/19/2020,397406
7/19/2021,3942496
7/19/2022,10513167
7/2/2020,256064
7/2/2021,3885571
7/2/2022,10157268
7/20/2020,406812
7/20/2021,3950000
7/20/2022,10521080
7/21/2020,418978
7/21/2021,3956207
7/21/2022,10557285
7/22/2020,430576
7/22/2021,3964493
7/22/2022,10579289
7/23/2020,439449
7/23/2021,3965555
7/23/2022,10579991
7/24/2020,449506
7/24/2021,3971305
7/24/2022,10580605
7/25/2020,457557
7/25/2021,3986425
7/25/2022,10629401
7/26/2020,464208
7/26/2021,3995711
7/26/2022,10647769
7/27/2020,470338
7/27/2021,4003740
7/27/2022,10656352
7/28/2020,480348
7/28/2021,4011829
7/28/2022,10689343
7/29/2020,491133
7/29/2021,4022585
7/29/2022,10708670
7/3/2020,261503
7/3/2021,3886251
7/3/2022,10157909
7/30/2020,499521
7/30/2021,4027259
7/30/2022,10709276
7/31/2020,506927
7/31/2021,4030797
7/31/2022,10709862
7/4/2020,266870
7/4/2021,3886807
7/4/2022,10209404
7/5/2020,277968
7/5/2021,3890728
7/5/2022,10227460
7/6/2020,284348
7/6/2021,3892650
7/6/2022,10233680
7/7/2020,295492
